Date_Sold,Property_ID,Location,Price,Bedrooms,Bathrooms,Square_Feet,Agent
2024-07-06,P1068,Los Angeles,748531,5,3.8,3624,Bob Johnson
2024-08-29,P1069,Los Angeles,351995,1,3.9,3551,Carol Lee
2024-05-28,P1070,Los Angeles,778843,5,1.9,504,Alice Smith
2025-02-14,P1071,Chicago,672843,4,1.9,1376,Alice Smith
2024-11-24,P1072,Houston,356508,4,2.5,1491,David King
2025-01-11,P1073,Phoenix,903591,4,2.3,4642,Carol Lee
2024-05-22,P1074,Phoenix,996942,4,4.0,4864,Bob Johnson
2024-06-16,P1075,New York,206530,4,1.5,4965,Bob Johnson
2024-09-19,P1076,Chicago,704365,3,1.1,1135,David King
2025-01-22,P1077,Chicago,922352,2,2.5,2193,Carol Lee
2024-08-13,P1078,New York,560337,4,1.5,2182,Bob Johnson
2025-01-13,P1079,Houston,824839,1,2.1,619,Bob Johnson
2024-11-26,P1080,New York,905889,1,3.2,1330,Carol Lee
2024-12-05,P1081,Chicago,559773,1,3.2,4175,Alice Smith
2024-12-03,P1082,Chicago,308261,1,1.9,1869,Bob Johnson
2024-05-21,P1083,Los Angeles,864469,3,2.6,1240,Alice Smith
2025-04-25,P1084,Chicago,441097,1,2.5,616,David King
2025-02-02,P1085,New York,415139,4,2.9,3338,Carol Lee
2024-11-09,P1086,Houston,271829,5,1.8,1650,Alice Smith
2025-02-02,P1087,Los Angeles,371836,1,2.8,2431,Alice Smith
2025-03-03,P1088,Phoenix,538974,3,3.9,1512,Bob Johnson
2024-11-14,P1089,Houston,302283,3,2.5,2164,Alice Smith
2025-02-01,P1090,Houston,296769,1,3.7,1581,Bob Johnson
2024-07-31,P1091,New York,661353,5,2.3,1012,Bob Johnson
2025-04-26,P1092,Chicago,323165,1,2.1,3349,Alice Smith
2025-01-02,P1093,Chicago,723587,3,2.9,1059,Bob Johnson
2024-11-24,P1094,Los Angeles,635822,2,3.0,4172,David King
2024-12-03,P1095,Los Angeles,587879,4,3.6,3843,Bob Johnson
2025-01-07,P1096,New York,664685,3,1.7,4570,Bob Johnson
2024-11-10,P1097,Houston,882038,1,2.5,1970,Bob Johnson
2025-04-13,P1098,Chicago,453531,4,2.7,1080,Carol Lee
2024-07-19,P1099,New York,363160,1,3.3,2794,Bob Johnson
